Entity,Code,Year,Population
Canada,CAN,1961,18233965
Canada,CAN,1962,18596848
Canada,CAN,1963,18943237
Canada,CAN,1964,19284228
Canada,CAN,1965,19627973
Canada,CAN,1966,19975695
Canada,CAN,1967,20324786
Canada,CAN,1968,20674999
Canada,CAN,1969,21025257
Canada,CAN,1970,21374326
Canada,CAN,1971,21723465
Canada,CAN,1972,22072193
Canada,CAN,1973,22415313
Canada,CAN,1974,22745896
Canada,CAN,1975,23059266
Canada,CAN,1976,23354587
Canada,CAN,1977,23634377
Canada,CAN,1978,23901716
Canada,CAN,1979,24161133
Canada,CAN,1980,24416885
Canada,CAN,1981,24668159
Canada,CAN,1982,24916538
Canada,CAN,1983,25171436
Canada,CAN,1984,25444886
Canada,CAN,1985,25744807
Canada,CAN,1986,26075504
Canada,CAN,1987,26432894
Canada,CAN,1988,26806125
Canada,CAN,1989,27179497
Canada,CAN,1990,27541323
Canada,CAN,1991,27888813
Canada,CAN,1992,28224410
Canada,CAN,1993,28547964
Canada,CAN,1994,28860734
Canada,CAN,1995,29164153
Canada,CAN,1996,29457820
Canada,CAN,1997,29742378
Canada,CAN,1998,30022078
Canada,CAN,1999,30302511
Canada,CAN,2000,30588379
Canada,CAN,2001,30880072
Canada,CAN,2002,31178260
Canada,CAN,2003,31488046
Canada,CAN,2004,31815490
Canada,CAN,2005,32164313
Canada,CAN,2006,32536994
Canada,CAN,2007,32930795
Canada,CAN,2008,33337638
Canada,CAN,2009,33746093
Canada,CAN,2010,34147566
Canada,CAN,2011,34539156
Canada,CAN,2012,34922031
Canada,CAN,2013,35296535
Canada,CAN,2014,35664338
Canada,CAN,2015,36026668
Canada,CAN,2016,36382942
Canada,CAN,2017,36732091
Canada,CAN,2018,37074558
Canada,CAN,2019,37411038
Canada,CAN,2020,37742157
